nome,criado_em,atualizado_em,estrelas,linguagem,prs_merged,releases,issues_total,issues_fechadas,idade_dias,dias_desde_atualizacao,razao_issues_fechadas
microsoft/Data-Science-For-Beginners,2021-03-03T16:30:15Z,2026-03-06T00:32:39Z,34136,Jupyter Notebook,452,0,136,135,1828,-1,0.9926
xkcoding/spring-boot-demo,2017-11-10T06:27:29Z,2026-03-05T11:15:34Z,34103,Java,15,0,173,73,3037,0,0.422
TheAlgorithms/JavaScript,2017-07-13T06:12:33Z,2026-03-05T23:10:54Z,34081,JavaScript,798,0,223,202,3157,0,0.9058
SeleniumHQ/selenium,2013-01-14T21:40:56Z,2026-03-06T01:55:39Z,34080,Java,3648,114,11135,11016,4798,-1,0.9893
atlassian/react-beautiful-dnd,2017-08-09T03:37:15Z,2026-03-05T20:29:22Z,34048,JavaScript,531,68,1619,1047,3130,0,0.6467
anoma/anoma,2021-02-02T10:00:16Z,2026-03-06T00:56:31Z,34032,Elixir,897,12,713,630,1857,-1,0.8836
1Panel-dev/1Panel,2022-07-19T15:44:52Z,2026-03-06T02:01:44Z,34025,Go,4716,109,6323,5912,1325,-1,0.935
ajeetdsouza/zoxide,2020-03-05T13:11:40Z,2026-03-06T02:11:46Z,34020,Rust,247,37,719,601,2191,-1,0.8359
google-ai-edge/mediapipe,2019-06-13T19:16:41Z,2026-03-06T02:07:24Z,34001,C++,201,64,5616,5182,2457,-1,0.9227
qishibo/AnotherRedisDesktopManager,2019-01-08T06:01:56Z,2026-03-05T18:35:30Z,33998,JavaScript,152,53,1100,936,2613,0,0.8509
ehang-io/nps,2018-11-04T13:22:51Z,2026-03-06T01:43:48Z,33938,Go,74,59,1205,697,2678,-1,0.5784
TheAlgorithms/C-Plus-Plus,2016-07-16T10:19:45Z,2026-03-06T01:41:10Z,33903,C++,705,0,331,323,3519,-1,0.9758
zxing/zxing,2011-10-12T14:07:27Z,2026-03-05T21:39:59Z,33875,Java,345,32,1340,1336,5258,0,0.997
harness/harness,2014-02-07T07:54:44Z,2026-03-05T20:40:48Z,33851,Go,1053,55,2017,1937,4409,0,0.9603
GorvGoyl/Clone-Wars,2020-12-02T11:10:16Z,2026-03-05T15:52:04Z,33851,,130,0,87,70,1919,0,0.8046
CMU-Perceptual-Computing-Lab/openpose,2017-04-24T14:06:31Z,2026-03-06T02:10:54Z,33827,C++,174,15,2007,1667,3237,-1,0.8306
halfrost/LeetCode-Go,2017-07-18T00:06:14Z,2026-03-05T17:20:17Z,33815,Go,178,4,82,64,3152,0,0.7805
asgeirtj/system_prompts_leaks,2025-05-03T02:43:56Z,2026-03-06T02:05:08Z,33810,HTML,20,0,0,0,306,-1,
Pythagora-io/gpt-pilot,2023-08-16T11:56:07Z,2026-03-06T02:15:00Z,33806,Python,396,0,553,314,932,-1,0.5678
jqlang/jq,2012-07-18T19:57:25Z,2026-03-05T22:15:30Z,33802,C,681,15,2320,1962,4978,0,0.8457
alibaba/easyexcel,2018-02-06T03:14:08Z,2026-03-05T11:38:19Z,33760,Java,190,14,3620,3131,2949,0,0.8649
Blankj/AndroidUtilCode,2016-07-30T18:18:32Z,2026-03-04T23:34:09Z,33710,Java,88,117,1595,1283,3505,0,0.8044
